 Time: 1443.99947, num_raw: 24000, num_filted: 24000
 Time: 1444.09935, num_raw: 24000, num_filted: 24000
 Time: 1444.19961, num_raw: 24000, num_filted: 24000
 Time: 1444.29950, num_raw: 24000, num_filted: 24000
 Time: 1444.39941, num_raw: 24000, num_filted: 24000
 Time: 1444.49929, num_raw: 24000, num_filted: 24000
 Time: 1444.59999, num_raw: 24000, num_filted: 24000
 Time: 1444.69984, num_raw: 24000, num_filted: 24000
 Time: 1444.79972, num_raw: 24000, num_filted: 24000
 Time: 1444.89966, num_raw: 24000, num_filted: 24000
 Time: 1444.99950, num_raw: 24000, num_filted: 24000
 Time: 1445.09937, num_raw: 24000, num_filted: 24000
 Time: 1445.19965, num_raw: 24000, num_filted: 24000
 Time: 1445.29952, num_raw: 24000, num_filted: 24000
 Time: 1445.39940, num_raw: 24000, num_filted: 24000
 Time: 1445.49965, num_raw: 24000, num_filted: 24000
 Time: 1445.59952, num_raw: 24000, num_filted: 24000
 Time: 1445.69939, num_raw: 24000, num_filted: 24000
 Time: 1445.79965, num_raw: 24000, num_filted: 24000
 Time: 1445.89949, num_raw: 24000, num_filted: 24000
 Time: 1445.99933, num_raw: 24000, num_filted: 24000
 Time: 1446.09999, num_raw: 24000, num_filted: 24000
 Time: 1446.19985, num_raw: 24000, num_filted: 24000
 Time: 1446.29974, num_raw: 24000, num_filted: 24000
 Time: 1446.39959, num_raw: 24000, num_filted: 24000
 Time: 1446.49950, num_raw: 24000, num_filted: 24000
 Time: 1446.59934, num_raw: 24000, num_filted: 24000
 Time: 1446.69963, num_raw: 24000, num_filted: 24000
 Time: 1446.79953, num_raw: 24000, num_filted: 24000
 Time: 1446.89937, num_raw: 24000, num_filted: 24000
 Time: 1446.99960, num_raw: 24000, num_filted: 24000
 Time: 1447.09945, num_raw: 24000, num_filted: 24000
 Time: 1447.19931, num_raw: 24000, num_filted: 24000
 Time: 1447.29961, num_raw: 24000, num_filted: 24000
 Time: 1447.39944, num_raw: 24000, num_filted: 24000
 Time: 1447.49967, num_raw: 24000, num_filted: 24000
 Time: 1447.59949, num_raw: 24000, num_filted: 24000
 Time: 1447.69933, num_raw: 24000, num_filted: 24000
 Time: 1447.79996, num_raw: 24000, num_filted: 24000
 Time: 1447.89979, num_raw: 24000, num_filted: 24000
 Time: 1447.99963, num_raw: 24000, num_filted: 24000
 Time: 1448.09946, num_raw: 24000, num_filted: 24000
 Time: 1448.19928, num_raw: 24000, num_filted: 24000
 Time: 1448.29993, num_raw: 24000, num_filted: 24000
 Time: 1448.39977, num_raw: 24000, num_filted: 24000
 Time: 1448.49964, num_raw: 24000, num_filted: 24000
 Time: 1448.59948, num_raw: 24000, num_filted: 24000
 Time: 1448.69932, num_raw: 24000, num_filted: 24000
 Time: 1448.79997, num_raw: 24000, num_filted: 24000
 Time: 1448.89983, num_raw: 24000, num_filted: 24000
 Time: 1448.99974, num_raw: 24000, num_filted: 24000
 Time: 1449.09959, num_raw: 24000, num_filted: 24000
 Time: 1449.19945, num_raw: 24000, num_filted: 24000
 Time: 1449.29930, num_raw: 24000, num_filted: 24000
 Time: 1449.39997, num_raw: 24000, num_filted: 24000
